"","L1","Average","Satisfaction","Usage"
"2","q15","2.03+/-0.13","92.3+/-3.3%","55.71%"
"3","q19_c","1.88+/-0.09","82.4+/-3.6%","96.97%"
"4","q32","2.22+/-0.07","94.6+/-2.2%","92.59%"
"1","Q6_a","2.25+/-0.07","95.6+/-1.8%","92.77%"
