"","L1","Average","Satisfaction","Usage"
"1","q06_a","4.2+/-0.08","95.6+/-1.8%","92.88%"
"2","q15","3.89+/-0.13","92.3+/-3.3%","55.83%"
"3","q19_c","3.67+/-0.11","82.5+/-3.6%","96.98%"
"4","q32","4.07+/-0.09","94.6+/-2.2%","92.6%"
