"","L1","Average","Satisfaction","Usage"
"1","q06_b","3.65+/-0.12","83.2+/-4.1%","74.68%"
"2","q17_a","4.03+/-0.19","94.8+/-5%","14.96%"
"3","q17_b","3.98+/-0.22","90.2+/-7%","15.21%"
"4","q17_c","3.86+/-0.22","88.1+/-7%","15.91%"
"5","q17_d","4.1+/-0.24","95.6+/-5.4%","10.76%"
"6","q17_e","3.91+/-0.23","93.7+/-5.8%","12.39%"
"7","q17_f","3.88+/-0.33","92+/-8.3%","8.3%"
"8","q18","4.1+/-0.13","95.6+/-2.9%","32.86%"
