q1,q2,q3,Q6_a,Q6_b,q7_a,q7_b,q7_c,q7_d,q7_e,q7_f,q7_g,q7_h,q7_i,q7_j,q7_k,q8,q9_a,q9_b,q9_c,q10,q11_a,q11_b,q11_c,q11_d,q11_e,q12,q13,q14_a,q14_b,q14_c,q15,q16,q17_a,q17_b,q17_c,q17_d,q17_e,q17_f,q18,q19_a,q19_b,q19_c,q19_e,q19_f,q19_g,q19_h,q20,q21,q22,q23,q25_a,q25_b,q25_c,q26_a,q26_b,q26_c,q27_a,q27_b,q28,q29_a,q29_b,q29_c,q30,q31,q32
f,f,f,na,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,na,f,f,f,f,f,f,f,f,f,f,na,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,na
s,s,s,na,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,na,s,s,s,na,na,s,s,s,s,s,s,s,s,s,na,na,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,na,na,na
u,u,u,u,na,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,na,na,u,u,u,u,na,na,na,na,na,na,na,na,na,u,u,na,na,u,u,u,u,u,na,na,na,na,u,na,u,na,u,na,na,na,na,na,u
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,na,na,g,g,g,g,g,g,g,g,g,g,g,na,na,g,g,na,na,g,g,g,g,g,na,na,na,na,g,na,g,na,g,na,na,na,na,g,g
